date,ID,Historias de Usuario,Criterios de Aceptación,Check,Prioridad,Existe,Nivel de Dificultad,Observaciones Técnicas,
2014-02-13,1,"Yo como encargado de servicios generales requiero consumir los conceptos de los contratos de servicios de acuerdo a como se vayan ejecutando, para poder tener la relación de lo contratado versus lo consumido",1. Dar aceptación del servicio prestado y que se disminuya automáticamente del total esperado2. Tener un reporte en dinero y cantidades de los servicios contratados en términos de consumido vs consumir,OK,A,YES,NA,"Se debe invertir tiempo importante en la configuración del maestro de producto por cada items de servicios contratado. En el caso de que los items sean de ""Suma Global"" se debe establecer una equivalencia en unidades de medida para el control del consumo. VER IMAGEN ADJUNTA a) La H.U. (3) de Finanzas satisface el criterio (1) de este H.U. (0 min)b) Geenerar Documentación de Uso de Reportes de Recepción de Bienes y Servicios. (480 min)c) Despliegue con usuario funcional (60min)",540
,2,Como encargado de Servicios Generales se requiere llevar un control del presupuesto de la unidad versus gasto real de las Ordenes de Servicios ODS emitidas a las empresas que prestan servicio de acuerdo a su ejecución mensual.,"- Elaborar presupuesto anual por Servicio, considerando el gasto real del año anterior e inflación prevista para el año de ejecución del presupuesto.- Determinar Costo presupuesto anual por proveedor.",,,,,Total minutos,540
