id,model,partner_id:id,amount_currency,currency_id:id
aml_cicsa_3974,account.move.line,VEJ315297876,,
aml_cicsa_3975,account.move.line,VEJ315297876,,
aml_cicsa_3976,account.move.line,VEJ315297876,,
aml_cicsa_3977,account.move.line,VEJ315297876,,
aml_cicsa_3978,account.move.line,VEJ315297876,,
aml_cicsa_3979,account.move.line,VEJ315297876,,
aml_cicsa_3980,account.move.line,VEJ315297876,,
aml_cicsa_3981,account.move.line,VEJ315297876,,
aml_cicsa_3982,account.move.line,VEJ315297876,,
aml_cicsa_3983,account.move.line,VEJ315297876,,
aml_cicsa_3984,account.move.line,VEJ297785213,,
aml_cicsa_3985,account.move.line,VEJ297785213,,
aml_cicsa_3986,account.move.line,VEJ297785213,,
aml_cicsa_3987,account.move.line,VEJ297785213,,
aml_cicsa_3988,account.move.line,VEJ297785213,,
aml_cicsa_3989,account.move.line,VEJ000815747,,
aml_cicsa_3990,account.move.line,VEJ000815747,,
aml_cicsa_3991,account.move.line,VEJ000815747,,
aml_cicsa_3992,account.move.line,VEJ000815747,,
aml_cicsa_3993,account.move.line,VEJ000815747,,
aml_cicsa_3994,account.move.line,VEJ003539554,,
aml_cicsa_3995,account.move.line,VEJ003539554,,
aml_cicsa_3996,account.move.line,VEJ003539554,,
aml_cicsa_3997,account.move.line,VEJ003539554,,
aml_cicsa_3998,account.move.line,VEJ003539554,,
aml_cicsa_3999,account.move.line,VEJ003539554,,
aml_cicsa_4000,account.move.line,VEJ308120219,,
aml_cicsa_4001,account.move.line,VEJ308120219,,
aml_cicsa_4002,account.move.line,VEJ308120219,,
aml_cicsa_4003,account.move.line,VEJ308120219,,
aml_cicsa_4004,account.move.line,VEJ308120219,,
aml_cicsa_4005,account.move.line,VEJ400406811,,
aml_cicsa_4006,account.move.line,VEJ400406811,,
aml_cicsa_4007,account.move.line,VEJ400406811,,
aml_cicsa_4008,account.move.line,VEJ400406811,,
aml_cicsa_4009,account.move.line,VEJ400406811,,
aml_cicsa_4010,account.move.line,VEJ400406811,,
aml_cicsa_4011,account.move.line,VEJ301406834,,
aml_cicsa_4012,account.move.line,VEJ301406834,,
aml_cicsa_4013,account.move.line,VEJ301406834,,
aml_cicsa_4014,account.move.line,VEJ301406834,,
aml_cicsa_4015,account.move.line,VEJ301406834,,
aml_cicsa_4016,account.move.line,VEJ301406834,,
aml_cicsa_4017,account.move.line,VEV049726860,,
aml_cicsa_4018,account.move.line,VEV049726860,,
aml_cicsa_4019,account.move.line,VEV049726860,,
aml_cicsa_4020,account.move.line,VEV049726860,,
aml_cicsa_4021,account.move.line,VEV049726860,,
aml_cicsa_4022,account.move.line,VEV049726860,,
aml_cicsa_4023,account.move.line,VEV049726860,,
aml_cicsa_4024,account.move.line,VEV049726860,,
aml_cicsa_4025,account.move.line,VEV049726860,,
aml_cicsa_4026,account.move.line,VEV049726860,,
aml_cicsa_4027,account.move.line,VEV049726860,,
aml_cicsa_4028,account.move.line,,2325.00,base.USD
aml_cicsa_4029,account.move.line,,-2325.00,base.USD
aml_cicsa_4030,account.move.line,,14055.00,base.USD
aml_cicsa_4031,account.move.line,,-14055.00,base.USD
aml_cicsa_4032,account.move.line,VEV045344734,,
aml_cicsa_4033,account.move.line,VEV045344734,,
aml_cicsa_4034,account.move.line,VEV045344734,,
aml_cicsa_4035,account.move.line,VEV045344734,,
aml_cicsa_4036,account.move.line,VEV045344734,,
aml_cicsa_4037,account.move.line,VEV045344734,,
aml_cicsa_4038,account.move.line,VEV045344734,,
aml_cicsa_4039,account.move.line,VEV045344734,,
aml_cicsa_4040,account.move.line,VEV045344734,,
aml_cicsa_4041,account.move.line,VEJ301406834,,
aml_cicsa_4042,account.move.line,VEJ301406834,,
aml_cicsa_4043,account.move.line,VEJ301406834,,
aml_cicsa_4044,account.move.line,VEJ301406834,,
aml_cicsa_4045,account.move.line,VEJ301406834,,
aml_cicsa_4046,account.move.line,VEJ301406834,,
aml_cicsa_4047,account.move.line,VEV133184402,,
aml_cicsa_4048,account.move.line,VEV133184402,,
aml_cicsa_4049,account.move.line,VEV133184402,,
aml_cicsa_4050,account.move.line,VEV133184402,,
aml_cicsa_4051,account.move.line,VEV133184402,,
aml_cicsa_4052,account.move.line,VEV133184402,,
aml_cicsa_4053,account.move.line,VEV133184402,,
aml_cicsa_4054,account.move.line,VEV133184402,,
aml_cicsa_4055,account.move.line,,18000.00,base.USD
aml_cicsa_4056,account.move.line,,-18000.00,base.USD
aml_cicsa_4057,account.move.line,,18000.00,base.USD
aml_cicsa_4058,account.move.line,,-18000.00,base.USD
aml_cicsa_4059,account.move.line,VEJ303982271,,
aml_cicsa_4060,account.move.line,VEJ303982271,,
aml_cicsa_4061,account.move.line,VEJ303738001,,
aml_cicsa_4062,account.move.line,VEJ303738001,,
aml_cicsa_4063,account.move.line,VEJ303738001,,
aml_cicsa_4064,account.move.line,VEJ303738001,,
aml_cicsa_4065,account.move.line,VEJ400406811,,
aml_cicsa_4066,account.move.line,VEJ400406811,,
aml_cicsa_4067,account.move.line,VEJ400406811,,
aml_cicsa_4068,account.move.line,VEJ400406811,,
aml_cicsa_4069,account.move.line,VEJ400406811,,
aml_cicsa_4070,account.move.line,VEJ400406811,,
aml_cicsa_4071,account.move.line,VEJ400406811,,
aml_cicsa_4072,account.move.line,VEJ400406811,,
aml_cicsa_4073,account.move.line,VEJ400406811,,
aml_cicsa_4074,account.move.line,VEJ400406811,,
aml_cicsa_4075,account.move.line,VEJ400406811,,
aml_cicsa_4076,account.move.line,VEJ400406811,,
aml_cicsa_4077,account.move.line,VEJ400406811,,
aml_cicsa_4078,account.move.line,VEJ400406811,,
aml_cicsa_4079,account.move.line,VEJ400406811,,
aml_cicsa_4080,account.move.line,VEJ400406811,,
aml_cicsa_4081,account.move.line,VEJ400406811,,
aml_cicsa_4082,account.move.line,VEJ400406811,,
aml_cicsa_4083,account.move.line,VEJ400406811,,
aml_cicsa_4084,account.move.line,VEJ400406811,,
aml_cicsa_4085,account.move.line,VEJ400406811,,
aml_cicsa_4086,account.move.line,VEJ400406811,,
aml_cicsa_4087,account.move.line,VEJ400406811,,
aml_cicsa_4088,account.move.line,VEJ400406811,,
aml_cicsa_4089,account.move.line,VEJ311271465,436122.30,base.USD
aml_cicsa_4090,account.move.line,VEJ311271465,-149988.00,base.USD
aml_cicsa_4091,account.move.line,VEJ311271465,-136146.30,base.USD
aml_cicsa_4092,account.move.line,VEJ311271465,-149988.00,base.USD
aml_cicsa_4093,account.move.line,VEJ311271465,126585.00,base.USD
aml_cicsa_4094,account.move.line,VEJ311271465,-42195.00,base.USD
aml_cicsa_4095,account.move.line,VEJ311271465,-42195.00,base.USD
aml_cicsa_4096,account.move.line,VEJ311271465,-42195.00,base.USD
aml_cicsa_4097,account.move.line,VEJ311271708,436122.30,base.USD
aml_cicsa_4098,account.move.line,VEJ311271708,-149988.00,base.USD
aml_cicsa_4099,account.move.line,VEJ311271708,-29997.60,base.USD
aml_cicsa_4100,account.move.line,VEJ311271708,-136146.30,base.USD
aml_cicsa_4101,account.move.line,VEJ311271708,-119990.40,base.USD
aml_cicsa_4102,account.move.line,VEJ311271708,126585.00,base.USD
aml_cicsa_4103,account.move.line,VEJ311271708,-42195.00,base.USD
aml_cicsa_4104,account.move.line,VEJ311271708,-8439.00,base.USD
aml_cicsa_4105,account.move.line,VEJ311271708,-42195.00,base.USD
aml_cicsa_4106,account.move.line,VEJ311271708,-33756.00,base.USD
aml_cicsa_4107,account.move.line,VEJ293877334,,
aml_cicsa_4108,account.move.line,VEJ293877334,,
aml_cicsa_4109,account.move.line,VEJ293877334,,
aml_cicsa_4110,account.move.line,VEJ293877334,,
aml_cicsa_4111,account.move.line,VEJ302287448,,
aml_cicsa_4112,account.move.line,VEJ302287448,,
aml_cicsa_4113,account.move.line,VEJ302287448,,
