id,model,name,ref,date,period_id:id,journal_id:id
str,str,str,str,str,ref,ref
am_cicsa_20000000101,account.move,Comp-20000000101,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000102,account.move,Comp-20000000102,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000103,account.move,Comp-20000000103,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000104,account.move,Comp-20000000104,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000105,account.move,Comp-20000000105,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000106,account.move,Comp-20000000106,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000107,account.move,Comp-20000000107,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000108,account.move,Comp-20000000108,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000109,account.move,Comp-20000000109,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000110,account.move,Comp-20000000110,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000111,account.move,Comp-20000000111,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
am_cicsa_20000000112,account.move,Comp-20000000112,Asientos Transacciones Mayo,2014-05-20,cicsa_data.ap_cicsa_05,cicsa_data.aj_cicsa_general
