id,model,partner_id:id,amount_currency,currency_id:id
aml_cicsa_4532,account.move.line,VEJ303900909,,
aml_cicsa_4533,account.move.line,VEJ303900909,,
aml_cicsa_4534,account.move.line,VEJ303900909,,
aml_cicsa_4535,account.move.line,VEJ303900909,,
aml_cicsa_4536,account.move.line,VEJ303900909,,
aml_cicsa_4537,account.move.line,VEJ303900909,,
aml_cicsa_4538,account.move.line,VEJ303900909,,
aml_cicsa_4539,account.move.line,VEJ303900909,,
aml_cicsa_4540,account.move.line,VEJ303900909,,
aml_cicsa_4541,account.move.line,VEJ303900909,,
aml_cicsa_4542,account.move.line,VEJ303900909,,
aml_cicsa_4543,account.move.line,VEJ303900909,,
aml_cicsa_4544,account.move.line,VEJ303900909,,
aml_cicsa_4545,account.move.line,VEJ303900909,,
aml_cicsa_4546,account.move.line,VEJ303900909,,
aml_cicsa_4547,account.move.line,VEJ303900909,,
aml_cicsa_4548,account.move.line,VEJ303900909,,
aml_cicsa_4549,account.move.line,VEJ303900909,,
aml_cicsa_4550,account.move.line,VEJ303900909,,
aml_cicsa_4551,account.move.line,VEJ303900909,,
aml_cicsa_4552,account.move.line,VEJ303900909,,
aml_cicsa_4553,account.move.line,VEJ303900909,,
aml_cicsa_4554,account.move.line,VEJ303900909,,
aml_cicsa_4555,account.move.line,VEJ303900909,,
aml_cicsa_4556,account.move.line,VEJ303900909,,
aml_cicsa_4557,account.move.line,VEJ303900909,,
aml_cicsa_4558,account.move.line,VEJ303900909,,
aml_cicsa_4559,account.move.line,VEJ303900909,,
aml_cicsa_4560,account.move.line,VEJ303900909,,
aml_cicsa_4561,account.move.line,VEJ303900909,,
aml_cicsa_4562,account.move.line,VEJ303900909,,
aml_cicsa_4563,account.move.line,VEJ303900909,,
aml_cicsa_4564,account.move.line,VEJ303900909,,
aml_cicsa_4565,account.move.line,VEJ303900909,,
aml_cicsa_4566,account.move.line,VEJ303900909,,
aml_cicsa_4567,account.move.line,VEJ303900909,,
aml_cicsa_4568,account.move.line,VEJ303900909,,
aml_cicsa_4569,account.move.line,,,
aml_cicsa_4570,account.move.line,,,
aml_cicsa_4571,account.move.line,,,
aml_cicsa_4572,account.move.line,,,
aml_cicsa_4573,account.move.line,VEJ303900909,,
aml_cicsa_4574,account.move.line,VEJ303900909,,
aml_cicsa_4575,account.move.line,VEJ303900909,,
aml_cicsa_4576,account.move.line,VEJ303900909,,
aml_cicsa_4577,account.move.line,VEJ303900909,,
aml_cicsa_4578,account.move.line,VEJ303900909,,
aml_cicsa_4579,account.move.line,VEJ303900909,,
aml_cicsa_4580,account.move.line,VEJ303900909,,
aml_cicsa_4581,account.move.line,VEJ303900909,,
aml_cicsa_4582,account.move.line,VEJ303900909,,
aml_cicsa_4583,account.move.line,VEJ303900909,,
aml_cicsa_4584,account.move.line,VEJ303900909,,
aml_cicsa_4585,account.move.line,VEJ303900909,,
aml_cicsa_4586,account.move.line,VEJ303900909,,
aml_cicsa_4587,account.move.line,VEJ303900909,,
aml_cicsa_4588,account.move.line,VEJ298426071,,
aml_cicsa_4589,account.move.line,VEJ298426071,,
aml_cicsa_4590,account.move.line,VEJ298426071,,
aml_cicsa_4591,account.move.line,VEJ298426071,,
aml_cicsa_4592,account.move.line,VEJ298426071,,
aml_cicsa_4593,account.move.line,VEV172228611,,
aml_cicsa_4594,account.move.line,VEV172228611,,
aml_cicsa_4595,account.move.line,VEJ306203117,,
aml_cicsa_4596,account.move.line,VEJ306203117,,
aml_cicsa_4597,account.move.line,VEJ306203117,,
aml_cicsa_4598,account.move.line,VEJ306203117,,
aml_cicsa_4599,account.move.line,VEJ306203117,,
aml_cicsa_4600,account.move.line,VEJ306203117,,
aml_cicsa_4601,account.move.line,VEJ306203117,,
aml_cicsa_4602,account.move.line,VEJ306203117,,
aml_cicsa_4603,account.move.line,VEJ306203117,,
aml_cicsa_4604,account.move.line,VEJ306203117,,
aml_cicsa_4605,account.move.line,VEJ306203117,,
aml_cicsa_4606,account.move.line,VEJ306203117,,
aml_cicsa_4607,account.move.line,VEJ306203117,,
aml_cicsa_4608,account.move.line,VEJ306203117,,
aml_cicsa_4609,account.move.line,VEJ306203117,,
aml_cicsa_4610,account.move.line,VEJ306203117,,
aml_cicsa_4611,account.move.line,VEJ306203117,,
aml_cicsa_4612,account.move.line,VEJ306203117,,
aml_cicsa_4613,account.move.line,VEJ306203117,,
aml_cicsa_4614,account.move.line,VEJ306203117,,
aml_cicsa_4615,account.move.line,VEJ315297876,,
aml_cicsa_4616,account.move.line,VEJ315297876,,
aml_cicsa_4617,account.move.line,VEJ315297876,,
aml_cicsa_4618,account.move.line,VEJ315297876,,
aml_cicsa_4619,account.move.line,VEJ315297876,,
aml_cicsa_4620,account.move.line,VEJ301406834,,
