value
C-FER
VAUXOO
ITF
TENARIS
WEATHERFORD
NORTON
E&J
DESCA
AE126155
G9377380
AAA933847
GNBS
VEG9377380
VEAE126155
VEAAA933847
VE
VENo Domiciliado
VENo Domicialiado
VENo domiciliado
VEAF043673
VEno Domiciliado
VENo Domiciliado 
